https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USD
1657065600000.0,2022-07-06 00:00:00,LTC/USD,49.65,51.125,48.92,50.28,359089.65889021475,18055028.049
1656979200000.0,2022-07-05 00:00:00,LTC/USD,52.195,52.415,47.895,49.65,513301.7814531722,25485433.44915
1656892800000.0,2022-07-04 00:00:00,LTC/USD,50.88,52.375,49.665,52.195,395719.30739055463,20654569.24925
1656806400000.0,2022-07-03 00:00:00,LTC/USD,50.47,52.1,49.055,50.88,306462.6546914308,15592819.8707
1656720000000.0,2022-07-02 00:00:00,LTC/USD,51.14,51.575,49.74,50.47,268360.58795224887,13544158.87395
1656633600000.0,2022-07-01 00:00:00,LTC/USD,53.83,56.16,50.005,51.14,602941.696119476,30834438.33955
1656547200000.0,2022-06-30 00:00:00,LTC/USD,53.6,53.995,50.08,53.83,531218.5250585176,28595493.2039
1656460800000.0,2022-06-29 00:00:00,LTC/USD,52.635,54.385,51.275,53.6,432345.8323227612,23173736.6125
1656374400000.0,2022-06-28 00:00:00,LTC/USD,55.865,56.94,52.485,52.635,411409.30889807164,21654528.97385
1656288000000.0,2022-06-27 00:00:00,LTC/USD,56.575,58.545,54.805,55.865,420957.6302747695,23516798.0153
1656201600000.0,2022-06-26 00:00:00,LTC/USD,58.865,60.43,56.57,56.575,295895.5532744145,16740290.9265
1656115200000.0,2022-06-25 00:00:00,LTC/USD,55.765,59.74,54.585,58.865,339284.2664868767,19971968.34675
1656028800000.0,2022-06-24 00:00:00,LTC/USD,55.7,57.255,54.35,55.765,397652.3545189635,22175083.54975
1655942400000.0,2022-06-23 00:00:00,LTC/USD,52.135,56.69,51.895,55.7,367110.9276283663,20448078.6689
1655856000000.0,2022-06-22 00:00:00,LTC/USD,53.47,53.495,50.38,52.135,352496.7521329241,18377418.17245
1655769600000.0,2022-06-21 00:00:00,LTC/USD,52.705,55.67,51.8,53.47,380305.82399756875,20334952.40915
1655683200000.0,2022-06-20 00:00:00,LTC/USD,54.195,54.73,51.27,52.705,467732.2394156152,24651827.6784
1655596800000.0,2022-06-19 00:00:00,LTC/USD,47.12,56.335,44.835,54.195,504888.6102952302,27362438.23495
1655510400000.0,2022-06-18 00:00:00,LTC/USD,47.52,48.265,41.455,47.12,418895.3976039898,19738351.1351
1655424000000.0,2022-06-17 00:00:00,LTC/USD,44.72,48.365,44.37,47.52,347139.4496738215,16496066.6485
1655337600000.0,2022-06-16 00:00:00,LTC/USD,50.57,51.125,43.97,44.72,463364.9316044275,20721679.74135
1655251200000.0,2022-06-15 00:00:00,LTC/USD,46.12,50.875,41.52,50.57,405246.67844176386,20493324.5288
1655164800000.0,2022-06-14 00:00:00,LTC/USD,43.4,46.425,40.3,46.12,349930.46360581095,16138792.9815
1655078400000.0,2022-06-13 00:00:00,LTC/USD,47.855,48.245,40.995,43.4,369849.65436635946,16051474.9995
1654992000000.0,2022-06-12 00:00:00,LTC/USD,52.11,52.61,47.25,47.855,348535.0741458573,16679145.97325
1654905600000.0,2022-06-11 00:00:00,LTC/USD,56.58,57.71,51.585,52.11,382962.8442861255,19956193.81575
1654819200000.0,2022-06-10 00:00:00,LTC/USD,60.14,60.32,55.44,56.58,302974.8086682573,17142314.67445
1654732800000.0,2022-06-09 00:00:00,LTC/USD,61.33,62.325,59.17,60.14,304098.9879705687,18288513.13655
1654646400000.0,2022-06-08 00:00:00,LTC/USD,63.8,64.42,61.075,61.33,223100.83530164682,13682774.22905
1654560000000.0,2022-06-07 00:00:00,LTC/USD,64.385,65.49,60.155,63.8,245527.09709404391,15664628.7946
1654473600000.0,2022-06-06 00:00:00,LTC/USD,63.085,66.43,62.85,64.385,249294.0932305661,16050800.19265
1654387200000.0,2022-06-05 00:00:00,LTC/USD,63.67,63.805,61.59,63.085,208275.54105254816,13139062.5073
