unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1.64406E+12,2/5/2022 12:00,DOGE/USD,0.14942,0.15071,0.14463,0.14711,3348283.697,492566.0146
1.64403E+12,2/5/2022 4:00,DOGE/USD,0.1479,0.15071,0.14463,0.14809,7172245.222,1062137.795
1.64398E+12,2/4/2022 12:00,DOGE/USD,0.13946,0.15046,0.1379,0.14942,11040099.08,1649611.604
1.64395E+12,2/4/2022 4:00,DOGE/USD,0.13822,0.14978,0.1379,0.1479,8626475.524,1275855.73
1.64389E+12,2/3/2022 12:00,DOGE/USD,0.13608,0.14114,0.13481,0.13946,6684998.557,932289.8987
1.64386E+12,2/3/2022 4:00,DOGE/USD,0.13774,0.13885,0.13481,0.13822,7732038.884,1068722.415
1.6438E+12,2/2/2022 12:00,DOGE/USD,0.14435,0.14515,0.13507,0.13608,11399737.71,1551276.308
1.64377E+12,2/2/2022 4:00,DOGE/USD,0.14298,0.14298,0.13579,0.13774,5007759.389,689768.7783
1.64372E+12,2/1/2022 12:00,DOGE/USD,0.14256,0.14634,0.14146,0.14435,6234665.686,899973.9918
1.64369E+12,2/1/2022 4:00,DOGE/USD,0.14369,0.14438,0.14135,0.14298,8747483.286,1250715.16
1.64363E+12,1/31/2022 12:00,DOGE/USD,0.1387,0.14438,0.13769,0.14256,12713617.62,1812453.328
1.6436E+12,1/31/2022 4:00,DOGE/USD,0.13789,0.14407,0.13643,0.14369,9886463.211,1420585.899
1.64354E+12,1/30/2022 12:00,DOGE/USD,0.14306,0.14335,0.13643,0.1387,9593057.359,1330557.056
1.64352E+12,1/30/2022 4:00,DOGE/USD,0.14181,0.14366,0.13652,0.13789,9755948.757,1345247.774
1.64346E+12,1/29/2022 12:00,DOGE/USD,0.14284,0.14428,0.14055,0.14306,7587132.101,1085415.118
1.64343E+12,1/29/2022 4:00,DOGE/USD,0.14202,0.14428,0.14055,0.14181,6827221.645,968168.3015
1.64337E+12,1/28/2022 12:00,DOGE/USD,0.13875,0.14375,0.1379,0.14284,5215209.255,744940.49
1.64334E+12,1/28/2022 4:00,DOGE/USD,0.14107,0.14282,0.1379,0.14202,6058395.787,860413.3697
1.64328E+12,1/27/2022 12:00,DOGE/USD,0.14246,0.14599,0.13614,0.13875,8742880.614,1213074.685
1.64326E+12,1/27/2022 4:00,DOGE/USD,0.14012,0.14599,0.13614,0.14107,10808590.09,1524767.804
1.6432E+12,1/26/2022 12:00,DOGE/USD,0.15085,0.1534,0.13839,0.14246,16286426.56,2320164.327
1.64317E+12,1/26/2022 4:00,DOGE/USD,0.1459,0.1534,0.13839,0.14012,8622126.733,1208132.398
1.64311E+12,1/25/2022 12:00,DOGE/USD,0.1358,0.1516,0.13492,0.15085,37549831.91,5664392.143
1.64308E+12,1/25/2022 4:00,DOGE/USD,0.13659,0.1506,0.13259,0.1459,29799542.17,4347753.202
1.643E+12,1/24/2022 4:00,DOGE/USD,0.13936,0.14097,0.12594,0.13659,45897625.68,6269156.692
1.64291E+12,1/23/2022 4:00,DOGE/USD,0.13679,0.14458,0.13481,0.13936,21599313.28,3010080.298
1.64282E+12,1/22/2022 4:00,DOGE/USD,0.14229,0.14366,0.12011,0.13679,35177035.53,4811866.689
1.64274E+12,1/21/2022 4:00,DOGE/USD,0.14982,0.15485,0.13972,0.14229,22092358.58,3143521.702
1.64265E+12,1/20/2022 4:00,DOGE/USD,0.16544,0.16932,0.14867,0.14982,15559178.39,2331076.107
1.64256E+12,1/19/2022 4:00,DOGE/USD,0.16628,0.16635,0.16101,0.16544,2893802.988,478750.7664
1.64248E+12,1/18/2022 4:00,DOGE/USD,0.16867,0.17232,0.16176,0.16628,16818219.46,2796533.532
1.64239E+12,1/17/2022 4:00,DOGE/USD,0.16965,0.17455,0.16575,0.16867,14602891.72,2463069.746
1.64231E+12,1/16/2022 4:00,DOGE/USD,0.18023,0.18438,0.16927,0.16965,14356599.49,2435597.104
1.64222E+12,1/15/2022 4:00,DOGE/USD,0.19067,0.19491,0.17875,0.18023,9895028.214,1783380.935
1.64213E+12,1/14/2022 4:00,DOGE/USD,0.17621,0.215,0.175,0.19067,80487595.87,15346569.91
